store,movement_id,voucher_no,voucher_date,movement_type,account_id,label_no,category,purity,gross_weight,net_weight,stone_weight,fine_weight,value,gold_rate_used,created_at
STORE_1,1,STORE_1_V10000,2025-08-01,SALE,94,LBL00217,PENDANT,750,3.679,3.529,0.027,2.647,17199.07,5887.49,2025-08-01
STORE_1,2,STORE_1_V10001,2025-08-01,SALE,5,LBL00009,BANGLE,916,16.102,15.757,0.002,14.433,87569.68,5569.3,2025-08-01
STORE_1,3,STORE_1_V10002,2025-08-01,SALE,94,LBL00037,NECKLACE,585,65.308,64.867,0.009,37.947,222372.28,5280.94,2025-08-01
STORE_1,4,STORE_1_V10003,2025-08-01,SALE,32,LBL00023,EARRING,916,2.941,2.652,0.0,2.429,14690.46,5610.53,2025-08-01
STORE_1,5,STORE_1_V10004,2025-08-01,SALE,7,LBL00157,BRACELET,750,16.374,15.831,0.078,11.873,71891.5,5560.24,2025-08-01
STORE_1,6,STORE_1_V10005,2025-08-01,SALE,74,LBL00121,BANGLE,585,44.651,44.208,0.018,25.862,161057.07,5924.1,2025-08-01
STORE_1,7,STORE_1_V10006,2025-08-01,SALE,5,LBL00043,PENDANT,916,12.729,12.309,0.075,11.275,70844.1,5744.78,2025-08-01
STORE_1,8,STORE_1_V10007,2025-08-01,SALE,81,LBL00016,PENDANT,585,7.208,6.919,0.0,4.048,24183.91,5694.27,2025-08-01
STORE_1,9,STORE_1_V10008,2025-08-01,SALE,80,LBL00189,EARRING,916,10.178,10.152,0.004,9.299,57471.0,5586.5,2025-08-01
STORE_1,10,STORE_1_V10009,2025-08-02,SALE,17,LBL00065,BRACELET,585,22.902,22.529,0.017,13.179,71398.68,5235.16,2025-08-02
STORE_1,11,STORE_1_V10010,2025-08-02,SALE,117,LBL00045,CHAIN,916,35.598,35.239,0.0,32.279,183843.47,5489.38,2025-08-02
STORE_1,12,STORE_1_V10011,2025-08-02,SALE,90,LBL00201,NECKLACE,916,39.482,39.333,0.0,36.029,221882.29,5841.34,2025-08-02
STORE_1,13,STORE_1_V10012,2025-08-02,SALE,19,LBL00022,RING,750,3.999,3.638,0.0,2.728,16685.74,5763.22,2025-08-02
STORE_1,14,STORE_1_V10013,2025-08-02,SALE,31,LBL00099,BRACELET,916,41.263,40.863,0.0,37.431,226962.58,5750.07,2025-08-02
STORE_1,15,STORE_1_V10014,2025-08-02,SALE,34,LBL00165,BANGLE,916,31.434,30.978,0.0,28.376,168341.66,5556.77,2025-08-02
STORE_1,16,STORE_1_V10015,2025-08-03,SALE,97,LBL00192,RING,916,5.423,4.869,0.0,4.46,27277.43,5729.51,2025-08-03
STORE_1,17,STORE_1_V10016,2025-08-03,SALE,68,LBL00038,CHAIN,916,32.593,32.07,0.0,29.376,180144.09,5795.08,2025-08-03
STORE_1,18,STORE_1_V10017,2025-08-03,SALE,68,LBL00081,NECKLACE,916,23.354,22.941,0.0,21.014,124303.77,5604.87,2025-08-03
STORE_1,19,STORE_1_V10018,2025-08-03,SALE,56,LBL00217,PENDANT,750,3.745,3.375,0.007,2.531,14221.69,5415.97,2025-08-03
STORE_1,20,STORE_1_V10019,2025-08-03,SALE,75,LBL00168,PENDANT,585,6.871,6.63,0.0,3.879,22765.51,5645.94,2025-08-03
STORE_1,21,STORE_1_V10020,2025-08-03,SALE,87,LBL00087,RING,916,1.078,0.661,0.0,0.605,3231.7,5232.56,2025-08-03
STORE_1,22,STORE_1_V10021,2025-08-03,SALE,2,LBL00018,NECKLACE,585,52.219,51.966,0.01,30.4,175751.59,5543.85,2025-08-03
STORE_1,23,STORE_1_V10022,2025-08-03,SALE,33,LBL00073,BRACELET,585,6.528,6.404,0.0,3.746,21291.65,5265.67,2025-08-03
STORE_1,24,STORE_1_V10023,2025-08-03,SALE,107,LBL00229,BANGLE,916,29.739,29.601,0.064,27.115,161335.94,5731.27,2025-08-03
STORE_1,25,STORE_1_V10024,2025-08-04,SALE,85,LBL00097,RING,916,2.569,2.108,0.08,1.931,11866.14,5357.11,2025-08-04
STORE_1,26,STORE_1_V10025,2025-08-04,SALE,33,LBL00048,RING,916,5.193,5.009,0.0,4.588,28285.33,5884.73,2025-08-04
STORE_1,27,STORE_1_V10026,2025-08-04,SALE,89,LBL00110,EARRING,750,14.23,13.687,0.005,10.265,62273.16,5783.22,2025-08-04
STORE_1,28,STORE_1_V10027,2025-08-04,SALE,49,LBL00016,PENDANT,585,8.913,8.674,0.0,5.074,30573.81,5806.15,2025-08-04
STORE_1,29,STORE_1_V10028,2025-08-05,SALE,119,LBL00126,BANGLE,750,28.002,27.874,0.009,20.905,120727.4,5576.82,2025-08-05
STORE_1,30,STORE_1_V10029,2025-08-05,SALE,56,LBL00197,CHAIN,916,39.271,39.132,0.0,35.845,211861.55,5736.51,2025-08-05
STORE_1,31,STORE_1_V10030,2025-08-05,SALE,10,LBL00019,PENDANT,916,8.759,8.412,0.016,7.705,43418.09,5238.42,2025-08-05
STORE_1,32,STORE_1_V10031,2025-08-06,SALE,5,LBL00239,PENDANT,750,10.714,10.312,0.003,7.734,44776.49,5460.83,2025-08-06
STORE_1,33,STORE_1_V10032,2025-08-06,SALE,66,LBL00001,PENDANT,916,9.112,8.685,0.024,7.955,48291.68,5513.8,2025-08-06
STORE_1,34,STORE_1_V10033,2025-08-07,SALE,29,LBL00139,RING,916,5.272,5.26,0.006,4.818,30327.57,5607.74,2025-08-07
STORE_1,35,STORE_1_V10034,2025-08-07,SALE,88,LBL00086,RING,916,8.466,8.277,0.0,7.582,46116.46,5910.56,2025-08-07
STORE_1,36,STORE_1_V10035,2025-08-07,SALE,110,LBL00137,BANGLE,585,42.616,42.039,0.0,24.593,148821.18,5768.72,2025-08-07
STORE_1,37,STORE_1_V10036,2025-08-08,SALE,71,LBL00046,RING,916,7.249,7.216,0.033,6.61,38566.15,5438.69,2025-08-08
STORE_1,38,STORE_1_V10037,2025-08-08,SALE,81,LBL00028,EARRING,916,14.432,14.016,0.004,12.839,79770.62,5677.45,2025-08-08
STORE_1,39,STORE_1_V10038,2025-08-08,SALE,5,LBL00036,CHAIN,916,29.839,29.715,0.024,27.219,165015.12,5502.97,2025-08-08
STORE_1,40,STORE_1_V10039,2025-08-08,SALE,40,LBL00165,BANGLE,916,31.234,30.929,0.048,28.331,157083.03,5236.74,2025-08-08
STORE_1,41,STORE_1_V10040,2025-08-08,SALE,101,LBL00087,RING,916,1.146,0.711,0.006,0.651,4194.75,5802.08,2025-08-08
STORE_1,42,STORE_1_V10041,2025-08-09,SALE,87,LBL00241,NECKLACE,585,58.398,57.875,0.015,33.857,212628.23,5639.23,2025-08-09
STORE_1,43,STORE_1_V10042,2025-08-09,SALE,95,LBL00010,EARRING,916,14.722,14.628,0.0,13.399,80741.64,5881.38,2025-08-09
