store,movement_id,voucher_no,voucher_date,movement_type,account_id,label_no,category,purity,gross_weight,net_weight,stone_weight,fine_weight,value,gold_rate_used,created_at
STORE_4,1,STORE_4_V10000,2025-08-01,SALE,29,LBL00114,BANGLE,585,42.373,41.894,0.093,24.508,146064.65,5426.34,2025-08-01
STORE_4,2,STORE_4_V10001,2025-08-01,SALE,119,LBL00246,RING,916,6.897,6.349,0.015,5.816,37367.7,5937.16,2025-08-01
STORE_4,3,STORE_4_V10002,2025-08-01,SALE,58,LBL00140,PENDANT,750,5.475,5.274,0.086,3.955,23862.2,5287.72,2025-08-01
STORE_4,4,STORE_4_V10003,2025-08-01,SALE,99,LBL00152,PENDANT,916,9.278,9.018,0.0,8.26,49166.9,5390.13,2025-08-01
STORE_4,5,STORE_4_V10004,2025-08-01,SALE,86,LBL00108,BRACELET,916,18.476,17.992,0.0,16.481,99835.41,5857.59,2025-08-01
STORE_4,6,STORE_4_V10005,2025-08-01,SALE,46,LBL00095,CHAIN,585,15.673,15.356,0.0,8.983,59055.82,5928.06,2025-08-01
STORE_4,7,STORE_4_V10006,2025-08-01,SALE,77,LBL00178,BRACELET,916,40.71,40.626,0.006,37.213,238322.72,5797.82,2025-08-01
STORE_4,8,STORE_4_V10007,2025-08-01,SALE,92,LBL00058,BANGLE,750,10.383,9.929,0.0,7.447,45977.45,5533.49,2025-08-01
STORE_4,9,STORE_4_V10008,2025-08-01,SALE,83,LBL00026,EARRING,916,1.769,1.29,0.0,1.182,7445.34,5873.44,2025-08-01
STORE_4,10,STORE_4_V10009,2025-08-02,SALE,74,LBL00134,BANGLE,916,45.656,45.109,0.0,41.32,247346.16,5629.36,2025-08-02
STORE_4,11,STORE_4_V10010,2025-08-02,SALE,15,LBL00198,BANGLE,916,4.996,4.689,0.0,4.295,25222.96,5462.61,2025-08-02
STORE_4,12,STORE_4_V10011,2025-08-02,SALE,76,LBL00187,CHAIN,916,29.056,28.526,0.075,26.13,160568.61,5718.54,2025-08-02
STORE_4,13,STORE_4_V10012,2025-08-03,SALE,72,LBL00098,BANGLE,916,40.774,40.459,0.0,37.06,238046.25,5777.79,2025-08-03
STORE_4,14,STORE_4_V10013,2025-08-03,SALE,69,LBL00123,CHAIN,916,57.914,57.452,0.086,52.626,311508.03,5273.03,2025-08-03
STORE_4,15,STORE_4_V10014,2025-08-03,SALE,20,LBL00156,NECKLACE,585,50.283,49.973,0.048,29.234,168157.02,5348.25,2025-08-03
STORE_4,16,STORE_4_V10015,2025-08-04,SALE,113,LBL00247,PENDANT,916,11.947,11.754,0.0,10.767,66081.94,5936.73,2025-08-04
STORE_4,17,STORE_4_V10016,2025-08-04,SALE,97,LBL00185,CHAIN,916,43.164,42.873,0.0,39.272,238659.52,5619.11,2025-08-04
STORE_4,18,STORE_4_V10017,2025-08-04,SALE,17,LBL00138,PENDANT,916,7.129,6.75,0.0,6.183,37431.7,5901.04,2025-08-04
STORE_4,19,STORE_4_V10018,2025-08-04,SALE,36,LBL00023,EARRING,916,3.39,3.216,0.013,2.946,19032.13,5747.77,2025-08-04
STORE_4,20,STORE_4_V10019,2025-08-04,SALE,68,LBL00221,PENDANT,916,10.556,10.105,0.0,9.256,57733.93,5906.74,2025-08-04
STORE_4,21,STORE_4_V10020,2025-08-04,SALE,91,LBL00155,PENDANT,750,3.352,3.226,0.0,2.42,15218.51,5751.04,2025-08-04
STORE_4,22,STORE_4_V10021,2025-08-04,SALE,5,LBL00033,RING,916,1.728,1.344,0.0,1.231,7307.37,5735.79,2025-08-04
STORE_4,23,STORE_4_V10022,2025-08-04,SALE,17,LBL00219,BANGLE,585,24.579,24.492,0.025,14.328,86686.22,5833.1,2025-08-04
STORE_4,24,STORE_4_V10023,2025-08-05,SALE,48,LBL00063,NECKLACE,916,9.647,9.213,0.0,8.439,52098.83,5767.9,2025-08-05
STORE_4,25,STORE_4_V10024,2025-08-05,SALE,43,LBL00107,NECKLACE,750,14.517,13.984,0.013,10.488,61437.04,5365.88,2025-08-05
STORE_4,26,STORE_4_V10025,2025-08-05,SALE,8,LBL00212,BANGLE,916,27.2,26.987,0.023,24.72,153591.43,5817.15,2025-08-05
STORE_4,27,STORE_4_V10026,2025-08-06,SALE,116,LBL00102,BANGLE,916,34.27,33.915,0.054,31.066,170541.13,5319.39,2025-08-06
STORE_4,28,STORE_4_V10027,2025-08-06,SALE,84,LBL00006,NECKLACE,750,5.84,5.734,0.009,4.3,27189.69,5713.08,2025-08-06
STORE_4,29,STORE_4_V10028,2025-08-06,SALE,10,LBL00191,BANGLE,916,12.268,11.981,0.043,10.975,64912.2,5254.23,2025-08-06
STORE_4,30,STORE_4_V10029,2025-08-06,SALE,96,LBL00150,CHAIN,916,16.295,15.721,0.0,14.4,87187.51,5786.39,2025-08-06
STORE_4,31,STORE_4_V10030,2025-08-06,SALE,95,LBL00216,NECKLACE,916,53.815,53.486,0.001,48.993,279326.83,5501.78,2025-08-06
STORE_4,32,STORE_4_V10031,2025-08-06,SALE,11,LBL00146,BANGLE,916,3.0,2.517,0.0,2.306,13013.67,5525.16,2025-08-06
STORE_4,33,STORE_4_V10032,2025-08-06,SALE,47,LBL00015,NECKLACE,916,35.08,34.831,0.019,31.905,197130.78,5523.64,2025-08-06
STORE_4,34,STORE_4_V10033,2025-08-06,SALE,59,LBL00101,NECKLACE,916,49.092,48.519,0.0,44.443,283223.51,5725.8,2025-08-06
STORE_4,35,STORE_4_V10034,2025-08-07,SALE,66,LBL00147,NECKLACE,916,9.63,9.146,0.007,8.378,47916.34,5441.79,2025-08-07
STORE_4,36,STORE_4_V10035,2025-08-07,SALE,101,LBL00196,PENDANT,916,9.401,9.241,0.0,8.465,52367.0,5533.51,2025-08-07
STORE_4,37,STORE_4_V10036,2025-08-07,SALE,40,LBL00176,BRACELET,585,26.96,26.593,0.0,15.557,92361.87,5630.8,2025-08-07
STORE_4,38,STORE_4_V10037,2025-08-08,SALE,78,LBL00166,CHAIN,916,20.512,20.28,0.009,18.576,114777.12,5830.25,2025-08-08
STORE_4,39,STORE_4_V10038,2025-08-08,SALE,113,LBL00112,RING,916,6.0,5.498,0.0,5.036,27959.69,5330.0,2025-08-08
STORE_4,40,STORE_4_V10039,2025-08-08,SALE,86,LBL00106,EARRING,916,9.492,9.401,0.019,8.611,51213.32,5621.69,2025-08-08
STORE_4,41,STORE_4_V10040,2025-08-08,SALE,20,LBL00173,BRACELET,916,19.336,19.266,0.085,17.648,113091.26,5679.91,2025-08-08
STORE_4,42,STORE_4_V10041,2025-08-08,SALE,95,LBL00137,BANGLE,585,44.395,44.094,0.095,25.795,161334.95,5666.65,2025-08-08
