label_no,huid,item_name,category,purity,gross_weight,net_weight,slab_label,product_category,market_demand_per_slab,market_demand_per_category,predicted_potential_sales
LBL00001,H828834,PENDANT LBL00001,PENDANT,916,8.961,8.444,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,603077.295792531
LBL00002,H711324,RING LBL00002,RING,750,6.59,6.146,5–10 GM,GOLD RINGS,19.666666666666668,220.66666666666666,330490.8245677141
LBL00003,H367865,CHAIN LBL00003,CHAIN,916,4.863,4.577,0–5 GM,GOLD CHAINS,191.66666666666666,223.33333333333334,277264.5915612679
LBL00004,H397809,RING LBL00004,RING,916,1.104,0.895,0–2 GM,GOLD RINGS,3.0,220.66666666666666,0.0
LBL00005,H384459,PENDANT LBL00005,PENDANT,750,5.684,5.296,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,272516.71202296455
LBL00006,H786563,NECKLACE LBL00006,NECKLACE,750,5.565,5.167,0–10 GM,GOLD NECKLACE,388.0,176.0,264786.546986847
LBL00007,H507523,PENDANT LBL00007,PENDANT,916,4.247,4.175,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,244350.15103782905
LBL00008,H213132,BANGLE LBL00008,BANGLE,916,6.58,6.38,5–15 GM,GOLD BRACELET,217.0,276.3333333333333,429656.953844806
LBL00009,H780956,BANGLE LBL00009,BANGLE,916,15.392,14.974,15–30 GM,GOLD BRACELET,183.66666666666666,276.3333333333333,1150355.4095735766
LBL00010,H499194,EARRING LBL00010,EARRING,916,14.294,13.863,10+ GM,GOLD EARRING,19.666666666666668,265.3333333333333,1057582.8287291746
LBL00011,H430779,BRACELET LBL00011,BRACELET,916,27.37,27.067,15–30 GM,GOLD BRACELET,183.66666666666666,184.33333333333334,2163523.4020630373
LBL00012,H657381,NECKLACE LBL00012,NECKLACE,916,60.497,60.19,40+ GM,GOLD NECKLACE,9.333333333333334,176.0,4938067.331523067
LBL00013,H308535,RING LBL00013,RING,750,10.439,10.365,10+ GM,GOLD RINGS,208.0,220.66666666666666,621994.2715037409
LBL00014,H687923,BANGLE LBL00014,BANGLE,916,15.63,15.425,15–30 GM,GOLD BRACELET,183.66666666666666,276.3333333333333,1188363.610017316
LBL00015,H359409,NECKLACE LBL00015,NECKLACE,916,31.49,31.248,20–40 GM,GOLD NECKLACE,139.0,176.0,2514188.213098784
LBL00016,H449773,PENDANT LBL00016,PENDANT,585,8.338,7.948,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,349830.47008580127
LBL00017,H880550,RING LBL00017,RING,916,2.942,2.77,2–5 GM,GOLD RINGS,7.333333333333333,220.66666666666666,121829.06395598233
LBL00018,H463625,NECKLACE LBL00018,NECKLACE,585,59.072,59.004,40+ GM,GOLD NECKLACE,9.333333333333334,176.0,3079316.5517729437
LBL00019,H755602,PENDANT LBL00019,PENDANT,916,9.54,9.263,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,670198.8210188949
LBL00020,H625600,BANGLE LBL00020,BANGLE,916,17.186,16.62,15–30 GM,GOLD BRACELET,183.66666666666666,276.3333333333333,1287482.9675685284
LBL00021,H756190,RING LBL00021,RING,585,6.018,5.656,5–10 GM,GOLD RINGS,19.666666666666668,220.66666666666666,228040.2994029401
LBL00022,H954441,RING LBL00022,RING,750,4.535,4.36,2–5 GM,GOLD RINGS,7.333333333333333,220.66666666666666,205190.92452801904
LBL00023,H393804,EARRING LBL00023,EARRING,916,2.663,2.498,2–5 GM,GOLD EARRING,6.666666666666667,265.3333333333333,101085.8649968428
LBL00024,H458388,BRACELET LBL00024,BRACELET,916,25.175,24.997,15–30 GM,GOLD BRACELET,183.66666666666666,184.33333333333334,1989702.4527294557
LBL00025,H192059,EARRING LBL00025,EARRING,916,15.29,14.996,10+ GM,GOLD EARRING,19.666666666666668,265.3333333333333,1152264.0862251054
LBL00026,H810929,EARRING LBL00026,EARRING,916,1.757,1.685,0–2 GM,GOLD EARRING,1.0,265.3333333333333,32596.578527674283
LBL00027,H352036,PENDANT LBL00027,PENDANT,916,8.479,8.161,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,577088.498114024
LBL00028,H427557,EARRING LBL00028,EARRING,916,14.585,14.444,10+ GM,GOLD EARRING,19.666666666666668,265.3333333333333,1105742.4009141217
LBL00029,H668573,BRACELET LBL00029,BRACELET,585,4.413,4.05,0–5 GM,GOLD BRACELET,5.0,184.33333333333334,142977.90270269645
LBL00030,H784167,PENDANT LBL00030,PENDANT,585,8.768,8.607,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,384687.4976345137
LBL00031,H667650,NECKLACE LBL00031,NECKLACE,916,36.856,36.352,20–40 GM,GOLD NECKLACE,139.0,176.0,2940062.6039193277
LBL00032,H424008,PENDANT LBL00032,PENDANT,585,3.676,3.421,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,108620.62048459903
